Name,Tournament,Entry,Sport,Entrants,Fill%,Start Time,Max Entries,Draft Size,Rounds,Rake,Close Time,Draft Entry,Pick Number
Jack Flaherty,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,1
Bryce Harper,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,2
Matt Olson,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,3
Sean Murphy,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,4
Kyle Schwarber,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,5
Adam Duvall,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,e2cde587-2cee-43ea-b5ab-3dc2c9b2d99d,6
Garrett Crochet,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,1
Bobby Witt Jr.,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,2
Bryce Harper,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,3
Matt Chapman,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,4
Kyle Schwarber,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,5
Jackson Chourio,Triple Play,$3,MLB,366,32.4%,MLB Fri Main Slate,3,6,6,11.3%,5:46PM CDT,c44ba321-44c2-4f3e-9501-5f05d6c3418d,6